K,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain
3,adjusted_mutual_info_score,0.9937902556291457,0.7052898858217854,0.9875818634828089,0.9937902556291457,0.9813734585104719
3,adjusted_rand_score,0.996996990984967,0.996996990984967,0.9939985000488597,0.996996990984967,0.996996990984967
3,v_measure_score,0.9938015906454756,0.923203640548957,0.9876045310785686,0.9938015906454756,0.9938015906454756
3,homogeneity_score,0.9938015906454756,0.9938015906454756,0.9876031812909506,0.9938015906454756,0.9938015906454756
3,fowlkes_mallows_score,0.4317021281495978,0.9969974985003784,0.995995005044604,0.997995991983968,0.995995005044604
4,adjusted_mutual_info_score,0.5778948526176922,0.9952803707311187,1.0,0.9952803707311187,0.9952803707311187
4,adjusted_rand_score,0.9973306577635366,0.9055283783249727,1.0,0.9973306577635366,0.9973306577635366
4,v_measure_score,0.9952957554740187,0.9068120513662434,1.0,0.9952957554740187,0.9952957554740187
4,homogeneity_score,0.995294319561939,0.9952943195619384,1.0,0.995294319561939,0.9905915245216542
4,fowlkes_mallows_score,0.4359361474419669,0.9979959919920162,1.0,0.9979959919920162,0.9979959919920162
5,adjusted_mutual_info_score,0.7957928095432951,1.0,0.9960669625875374,1.0,1.0
5,adjusted_rand_score,1.0,1.0,0.9974962343264018,1.0,1.0
5,v_measure_score,1.0,1.0,0.9960866319013287,1.0,1.0
5,homogeneity_score,1.0,1.0,0.9960850846363261,1.0,1.0
5,fowlkes_mallows_score,1.0,1.0,0.9979949849624249,1.0,1.0
6,adjusted_mutual_info_score,1.0,0.9999999999999999,1.0,1.0,1.0
6,adjusted_rand_score,0.9952670930295928,1.0,1.0,1.0,1.0
6,v_measure_score,0.63019709030267,0.9311550643043481,1.0,1.0,1.0
6,homogeneity_score,1.0,1.0,1.0,1.0,1.0
6,fowlkes_mallows_score,0.9979899679663183,1.0,1.0,1.0,1.0
7,adjusted_mutual_info_score,0.6958130831457813,0.9969067672789613,0.9969067672789612,0.9969067672789613,0.9938153483905194
7,adjusted_rand_score,0.9976584621370863,0.9976584621370863,0.9976584621370863,0.9976584621370863,0.9976584621370863
7,v_measure_score,0.7040003631000609,0.9074142908451133,0.9969356979789726,0.9969356979789727,0.9969356979789727
7,homogeneity_score,0.996933906620338,0.9969339066203379,0.9969339066203379,0.996933906620338,0.996933906620338
7,fowlkes_mallows_score,0.9979909628822814,0.9979909628822814,0.9979909628822814,0.9979909628822814,0.9979909628822814
8,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
8,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
8,v_measure_score,0.9652525067425428,1.0,1.0,1.0,1.0
8,homogeneity_score,1.0,0.9950533601208986,1.0,1.0,1.0
8,fowlkes_mallows_score,1.0,0.9418752742577249,1.0,1.0,1.0
9,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
9,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
9,v_measure_score,1.0,1.0,1.0,1.0,1.0
9,homogeneity_score,1.0,1.0,1.0,1.0,1.0
9,fowlkes_mallows_score,1.0,1.0,1.0,1.0,0.9979929708983651
10,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
10,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
10,v_measure_score,1.0,1.0,1.0,1.0,1.0
10,homogeneity_score,1.0,1.0,1.0,1.0,1.0
10,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
11,adjusted_mutual_info_score,0.904809662193102,1.0,1.0,1.0,1.0
11,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
11,v_measure_score,1.0,1.0,1.0,1.0,1.0
11,homogeneity_score,1.0,1.0,1.0,1.0,1.0
11,fowlkes_mallows_score,1.0,0.9361081779062531,1.0,1.0,1.0
12,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
12,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
12,v_measure_score,1.0,1.0,1.0,1.0,1.0
12,homogeneity_score,1.0,1.0,1.0,1.0,1.0
12,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
13,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
13,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
13,v_measure_score,0.985529640624413,1.0,1.0,1.0,1.0
13,homogeneity_score,1.0,1.0,1.0,1.0,1.0
13,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
14,adjusted_mutual_info_score,1.0,0.9999999999999998,0.9999999999999998,1.0,1.0
14,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
14,v_measure_score,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0
14,homogeneity_score,1.0,1.0,1.0,1.0,1.0
14,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
15,adjusted_mutual_info_score,1.0,1.0,0.9999999999999998,1.0,1.0
15,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
15,v_measure_score,1.0,0.9935111716088235,0.9999999999999999,1.0,1.0
15,homogeneity_score,1.0,0.9980808182272811,1.0,1.0,1.0
15,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
16,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
16,adjusted_rand_score,0.9829069312929093,1.0,1.0,1.0,1.0
16,v_measure_score,0.9677415511568468,1.0,1.0,1.0,1.0
16,homogeneity_score,1.0,1.0,1.0,1.0,1.0
16,fowlkes_mallows_score,1.0,0.9867422407801616,1.0,1.0,1.0
17,adjusted_mutual_info_score,0.9924541394671894,0.9926294926476411,1.0,1.0,1.0
17,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
17,v_measure_score,0.9931699551421984,0.9931699551421984,1.0,1.0,1.0
17,homogeneity_score,1.0,1.0,1.0,1.0,1.0
17,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
18,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
18,adjusted_rand_score,0.9702683106425685,1.0,1.0,1.0,1.0
18,v_measure_score,0.9938020862601477,0.9933543520381968,1.0,1.0,1.0
18,homogeneity_score,1.0,1.0,1.0,1.0,1.0
18,fowlkes_mallows_score,0.987773496778698,0.7219332955920911,1.0,1.0,1.0
19,adjusted_mutual_info_score,1.0,0.9939455446460086,1.0,1.0,1.0
19,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
19,v_measure_score,0.9616235694660566,1.0,1.0,1.0,1.0
19,homogeneity_score,0.9999999999999999,1.0,1.0,1.0,1.0
19,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
20,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
20,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
20,v_measure_score,0.9943083554423515,0.9942554135580924,1.0,1.0,1.0
20,homogeneity_score,1.0,1.0,1.0,1.0,1.0
20,fowlkes_mallows_score,0.987245187997637,1.0,1.0,1.0,1.0
