K,Metric,bayesian,spectral,leiden,louvain,walktrap
4,adjusted_mutual_info_score,0.9952803707311187,0.9905592725325132,0.9952803707311187,0.9952803707311187,0.9952803707311187
4,adjusted_rand_score,0.9973306577635366,0.9946559948168128,0.9973306577635366,0.9973306577635366,0.9973306577635366
4,v_measure_score,0.9351197373829555,0.990590046897501,0.9952957554740187,0.9952957554740187,0.9952957554740187
4,homogeneity_score,0.995294319561939,0.9905857652217712,0.995294319561939,0.995294319561939,0.995294319561939
4,fowlkes_mallows_score,0.9979959919920162,0.9959880002168631,0.9979959919920162,0.9979959919920162,0.9979959919920162
5,adjusted_mutual_info_score,0.6985930148544787,1.0,1.0,1.0,1.0
5,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
5,v_measure_score,1.0,1.0,1.0,1.0,1.0
5,homogeneity_score,0.9999999999999996,1.0,1.0,1.0,1.0
5,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
8,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
8,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
8,v_measure_score,1.0,1.0,1.0,1.0,1.0
8,homogeneity_score,1.0,1.0,1.0,1.0,1.0
8,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
10,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
10,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
10,v_measure_score,1.0,1.0,1.0,1.0,1.0
10,homogeneity_score,1.0,1.0,1.0,1.0,1.0
10,fowlkes_mallows_score,0.746900392589163,1.0,1.0,1.0,1.0
20,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
20,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
20,v_measure_score,1.0,1.0,1.0,1.0,1.0
20,homogeneity_score,1.0,1.0,1.0,1.0,1.0
20,fowlkes_mallows_score,0.9892276929865179,1.0,1.0,1.0,1.0
30,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
30,adjusted_rand_score,0.991236743009919,1.0,1.0,1.0,1.0
30,v_measure_score,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0
30,homogeneity_score,1.0,1.0,1.0,1.0,1.0
30,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
40,adjusted_mutual_info_score,0.9974042904182856,1.0,1.0,0.9939442554079753,1.0
40,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
40,v_measure_score,1.0,1.0,1.0,1.0,1.0
40,homogeneity_score,1.0,1.0,1.0,1.0,1.0
40,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
50,adjusted_mutual_info_score,0.9949889632927252,1.0,0.9899969945222311,0.9899969945222311,1.0
50,adjusted_rand_score,1.0,1.0,0.9587803267865984,0.9587803267865984,1.0
50,v_measure_score,1.0,1.0,0.9928620580818994,0.9928620580818994,1.0
50,homogeneity_score,0.9858252943891553,1.0,0.9858252943891553,0.9858252943891553,1.0
50,fowlkes_mallows_score,0.9212120162847249,1.0,0.9603801836186431,0.9603801836186431,1.0
